Bransje_ID,Erfaring,Struktur,Driv,Samarbeid,Ekstroversjon,Skill_Match,Jobb_Hopping,IQ,Hired,Flight_Risk,Markedsverdi
0,12,3,7,7,6,65,4,126,1,1,900182
4,15,1,5,3,8,40,5,104,1,1,813942
4,6,9,1,10,3,50,5,82,1,1,853894
2,14,5,6,2,5,64,0,116,0,0,768560
2,4,4,7,8,7,68,1,100,1,0,545768
2,7,8,5,5,4,38,3,100,1,0,634653
1,9,3,1,8,10,81,0,91,1,0,1418929
4,10,7,7,8,10,79,4,123,1,1,948616
0,9,9,6,3,8,22,5,128,0,1,1345004
1,13,6,10,3,9,82,2,92,1,0,1004721
4,2,4,4,5,3,36,2,112,0,0,503007
1,19,7,6,6,7,81,4,89,1,1,1476821
1,19,9,2,8,7,79,0,126,1,0,1173186
2,18,8,6,3,8,66,5,128,1,1,900173
3,21,9,6,8,1,28,2,123,1,0,1497587
2,7,4,9,10,6,23,1,104,1,0,768950
1,10,9,2,5,6,52,3,119,1,1,1061806
1,10,7,3,7,9,47,5,127,1,1,858519
3,19,10,9,3,5,87,1,120,1,0,1333223
0,0,7,6,8,7,31,2,136,1,1,844141
4,25,5,9,1,6,40,1,107,1,0,1094617
1,4,2,4,9,1,26,5,105,0,1,715502
0,13,2,3,1,7,40,2,125,1,0,874786
2,21,7,2,6,4,89,2,132,1,0,1246818
2,21,5,6,6,1,38,2,132,1,0,1232912
2,18,5,2,2,8,26,1,92,0,0,987201
0,17,8,4,7,10,22,5,123,1,1,1249952
1,5,2,2,3,10,55,3,113,0,1,1291326
4,24,9,10,4,4,97,2,101,1,0,1053779
4,23,4,10,8,5,41,3,94,1,0,1156388
3,25,10,5,7,4,23,3,138,1,0,1232703
4,2,5,2,10,4,98,3,101,0,0,536021
4,25,6,5,8,5,30,1,119,1,0,1031810
2,10,10,4,4,7,22,1,104,0,0,798704
2,12,6,1,3,2,45,5,108,1,1,810341
0,10,6,7,5,4,89,3,133,1,1,1140477
2,4,5,10,4,4,61,0,128,1,0,715924
0,11,5,7,3,4,41,4,120,1,1,1080920
0,22,6,8,9,3,63,4,125,1,1,1121692
1,9,6,1,10,3,46,1,120,0,0,690446
4,1,7,7,6,1,75,0,117,0,0,714785
0,4,7,3,5,1,96,0,133,1,0,1255485
0,6,3,9,2,9,76,0,124,1,0,850608
3,10,5,1,4,8,83,2,105,1,1,1299369
3,17,1,1,10,1,52,3,130,1,1,1102452
0,9,6,6,10,8,91,0,128,1,0,809820
3,9,10,7,7,3,69,2,95,1,1,1075406
